abandon, [əˋbændən] vt.放棄，中止
professional, [prəˋfɛʃən!] n.職業選手；專家，內行 a.從事特定專業的；職業性的
recipe, [ˋrɛsəpɪ] n.食譜
recite, [riˋsaɪt] vt.vi.背誦；朗誦
professor, [prəˋfɛsɚ] n.教授
recognition, [͵rɛkəgˋnɪʃən] n.認出，識別；認可[U]
profitable, [ˋprɑfɪtəb!] a.有利的，贏利的；有益的
recovery, [rɪˋkʌvərɪ] n.重獲；恢復，復甦
prominent, [ˋprɑmənənt] a.突出的；顯著的；卓越的
recreation, [͵rɛkrɪˋeʃən] n.消遣；娛樂
recycle, [riˋsaɪk!] vt.使再循環；再利用
promising, [ˋprɑmɪsɪŋ] a.有希望的，有前途的
reduction, [rɪˋdʌkʃən] n.減少；削減；【數】簡化
promotion, [prəˋmoʃən] n.晉級；發揚；提倡；促銷[U]
refer, [rɪˋfɝ] vt.把…歸因於；將…提交[(+to)] vi.談到；查閱，參考；打聽；涉及[(+to)]
prompt, [prɑmpt] a. 敏捷的，及時的，迅速的
prompt, [prɑmpt] vt.. 促使；激勵；慫恿
reference, [ˋrɛfərəns] n.提及；提交；參考
pronoun, [ˋpronaʊn] n.【文】代名詞
reflect, [rɪˋflɛkt] vt.vi.反射；思考，反省
pronunciation, [prə͵nʌnsɪˋeʃən] n.發音；發音法
reflection, [rɪˋflɛkʃən] n.反射；回響；深思熟慮
prosper, [ˋprɑspɚ] vi.vt.(使)繁榮，(使)昌盛；
reform, [͵rɪˋfɔrm] n.vt.改革，革新
restore, [rɪˋstor] vt.vi.恢復；使復原；修復，整修
refresh, [rɪˋfrɛʃ] vt.vi.(使)清新；消除(…)疲勞
refugee, [͵rɛfjʊˋdʒi] n.難民；流亡者
restriction, [rɪˋstrɪkʃən] n.限制；約束
refusal, [rɪˋfjuz!] n.拒絕[U][C][+to-v]
retain, [rɪˋten] vt.保留，保持
regarding, [rɪˋgɑrdɪŋ] prep.關於；就…而論
retire, [rɪˋtaɪr] vt.vi.(使)退休；(令)退役
register, [ˋrɛdʒɪstɚ] n.vt.vi.登記，註冊
retirement, [rɪˋtaɪrmənt] n.退休；退職
registration, [͵rɛdʒɪˋstreʃən] n.登記，註冊，掛號[U]
retreat, [rɪˋtrit] n.撤退；隱退處；休養所 vi.vt.撤退，退卻
regulate, [ˋrɛgjə͵let] vt.vi.管理；控制；校準；調節
reunion, [riˋjunjən] n.再聯合；(親友等的)團聚，重聚
regulation, [͵rɛgjəˋleʃən] n.規章；規則[C]；管理；調整
revenge, [rɪˋvɛndʒ] vt.替…報仇[(+on/upon)]n.報仇；報復[U][(+for/on)]
rejection, [rɪˋdʒɛkʃən] n.拒絕；退回；【醫】排斥[U]
revise, [rɪˋvaɪz] vt.vi.修訂；校訂
revision, [rɪˋvɪʒən] n.修訂；修訂本，訂正版
relative, [ˋrɛlətɪv] n.親戚，親屬；【文】關係詞 a.與…有關係的，相關的
revolution, [͵rɛvəˋluʃən] n.革命；(天體的)運行，公轉
relative, [ˋrɛlətɪv] a.相對的，比較的；
revolutionary, [͵rɛvəˋluʃən͵ɛrɪ] a.革命的
relaxation, [͵rilæksˋeʃən] n.鬆弛，放鬆[U]
reward, [rɪˋwɔrd] n.vt.報答；報償；獎賞
relieve, [rɪˋliv] vt.vi.緩和，減輕；解除
rhyme, [raɪm] n.韻，韻腳 vi.押韻
reluctant, [rɪˋlʌktənt] a.不情願的；勉強的
rhythm, [ˋrɪðəm] n.節奏；韻律[U]；節拍[C]
remark, [rɪˋmɑrk] vi.n.談到；評論；說；注意；察覺
romance, [roˋmæns] n.愛情小說；浪漫情調
remarkable, [rɪˋmɑrkəb!] a.值得注意的；非凡卓越的
roughly, [ˋrʌflɪ] adv.粗糙地；粗略地；大體上；大約
remedy, [ˋrɛmədɪ] n.治療；治療法；藥物
route, [rut] n.路；路線；航線[C]
repetition, [͵rɛpɪˋtɪʃən] n.重複；反覆
ruin, [ˋrʊɪn] n.毀滅；崩潰；毀壞[U]；廢墟；遺跡[C] vt.vi.毀滅；崩潰
representation, [͵rɛprɪzɛnˋteʃən] n.代表；代表權[U]；表示，表現
reputation, [͵rɛpjəˋteʃən] n.名譽，名聲
rural, [ˋrʊrəl] a.農村的；田園的
rescue, [ˋrɛskju] n.vt.援救；營救
sacrifice, [ˋsækrə͵faɪs] n.(供神的)牲禮，祭品；犧牲 vt.犧牲；獻出
research, [rɪˋsɝtʃ] n.vi.vt.(學術)研究；調查，探究
salary, [ˋsælərɪ] n.薪資，薪水
researcher, [riˋsɝtʃɚ] n.研究員；調查者
salesperson, [ˋselz͵pɚsn] n.店員，售貨員
resemble, [rɪˋzɛmb!] vt.像，類似
reservation, [͵rɛzɚˋveʃən] n.保留(意見)；自然保護區；預訂；預訂的房間(或席座)
saleswoman, [ˋselz͵wʊmən] n.女店員；售貨員
satellite, [ˋsæt!͵aɪt] n.衛星；人造衛星
resign, [rɪˋzaɪn] vt.vi.放棄，辭職
satisfaction, [͵sætɪsˋfækʃən] n.滿意，滿足
resignation, [͵rɛzɪgˋneʃən] n.辭職；放棄；辭呈[C]
scarcely, [ˋskɛrslɪ] adv.幾乎不，幾乎沒有
scenery, [ˋsinərɪ] n.風景，景色 [U]
resistance, [rɪˋzɪstəns] n.抵抗，反抗，抵抗力；電阻
scold, [skold] vt.vi.n.罵，責罵
scratch, [skræ tʃ] n.vt.vi.抓；搔；擦；刮
resolution, [͵rɛzəˋluʃən] n.決心；決定；(會議等的)正式決定；【電腦】解析度
screwdriver, [ˋskru͵draɪvɚ] n.螺絲起子
sculpture, [ˋskʌlptʃɚ] n.雕塑品；雕像[C]；雕刻術[U]
seagull, [ˋsigʌl] n.海鷗(gull)
resolve, [rɪˋzɑlv] vt.vi.決心，決定；解決;解答；議決
senior, [ˋsinjɚ] a.年長的，前輩的；四年級生 n.較年長者；學長；前輩；上司； (大學)
respectable, [rɪˋspɛktəb!] a.值得尊敬的
respectful, [rɪˋspɛktfəl] a.恭敬的；尊敬人的
settler, [ˋsɛtlɚ] n.移居者；殖民者；(糾紛等的)解決者
spicy, [ˋspaɪsɪ] a.加有香料的；香的；辛辣的
spiritual, [ˋspɪrɪtʃʊəl] a.精神(上)的，心靈的
severe, [səˋvɪr] a. 嚴重的；劇烈的；嚴厲的；嚴肅的
splendid, [ˋsplɛndɪd] a.有光彩的；燦爛的；極好的
shameful, [ˋʃemfəl] a.可恥的，丟臉的
split, [splɪt] vt.vi.劈開；切開 n.裂縫，裂痕；(舞蹈，體操中的)劈腿
shaver, [ˋʃevɚ] n.理髮師；刮鬍鬚的用具
shelter, [ˋʃɛltɚ] n.遮蓋物；躲避處；避難所 vt.遮蔽；庇護
sportsman, [ˋsportsmən] n.喜好運動的人；運動員
shift, [ʃɪft] vt.vi.轉移；變(速)，換(檔) n.轉移；輪班；(汽車的)變速裝置
sportsmanship, [ˋsportsmən͵ʃɪp] n.運動員精神
shortsighted, [ˋʃɔrtˋsaɪtɪd] a.近視的；目光短淺的
status, [ˋstetəs] n.地位，身分；情形，狀況
stem, [stɛm] n.莖，(樹)幹，(葉)柄 vi.起源於，由…而造成[(+from)]
shrug, [ʃrʌg] n.vi.vt.(表示疑惑，蔑視，無奈等)聳肩
stingy, [ˋstɪndʒɪ] a.吝嗇的，小氣的
shuttle, [ˋʃʌt!] n.(紡織機的)梭子；接駁車；太空梭；羽毛球
strengthen, [ˋstrɛŋθən] vt.vi.加強；增強；鞏固
sightseeing, [ˋsaɪt͵siɪŋ] n.觀光，遊覽[U]
strive, [straɪv] vi.努力，苦幹，奮鬥
signature, [ˋsɪgnətʃɚ] n.簽名，簽署；(人物)識別標誌
stroke, [strok] n.打，擊，敲；(病)突然發作；中風；(寫字，繪畫的)一筆；筆觸
significance, [sɪgˋnɪfəkəns] n.重要性，重要
stroke, [strok] vt.n.(用手)撫，摸，捋
submarine, [ˋsʌbmə͵rin] n.潛水艇 a.海底的
sincerity, [sɪnˋsɛrətɪ] n.真實；誠心誠意
suggestion, [səˋdʒɛstʃən] n.建議，提議；暗示
singular, [ˋsɪŋgjəlɚ] a.【文】單數的 n.【文】單數(形)
summarize, [ˋsʌmə͵raɪz] vt.vi.總結，概述
surf, [sɝf] vt.vi.衝浪；快速瀏覽
site, [saɪt] n.地點，場所；【電腦】網點
surgeon, [ˋsɝdʒən] n.外科醫生
sketch, [skɛtʃ] n.vt.vi.速寫，素描
surgery, [ˋsɝdʒərɪ] n.外科，(外科)手術[U]；手術室
sledge, [slɛdʒ] n.雪橇 vi.乘雪橇 vt.用雪橇運送(=sled)
surrender, [səˋrɛndɚ] vi.vt.n.投降，自首
sleigh, [sle] n.雪橇 vi.乘雪橇 vt.用雪橇運送(=sled)
surroundings, [səˋraʊndɪŋz] n.環境；周圍的事物
slight, [slaɪt] a.輕微的；微小的；少量的
suspicious, [səˋspɪʃəs] a.猜疑的，可疑的
slogan, [ˋslogən] n.口號，標語
sway, [swe] vt.vi.n.搖動，搖擺
smog, [smɑg] n.煙霧(= smoke and fog)[U]
syllable, [ˋsɪləb!] n.音節[C]
sneeze, [sniz] vi.打噴嚏 n.噴嚏(聲)[C]
sympathetic, [͵sɪmpəˋθɛtɪk] a.同情的；有同情心的
sob, [sɑb] vi.vt.n.嗚咽；啜泣
socket, [ˋsɑkɪt] n.托座，承口；【電】插座；插口
sympathy, [ˋsɪmpəθɪ] n.同情，同情心
symphony, [ˋsɪmfənɪ] n.交響樂，交響曲
software, [ˋsɔft͵wɛr] n.【電腦】軟體 [U]
syrup, [ˋsɪrəp] n.糖漿；果汁
solar, [ˋsolɚ] a.太陽的；日光的
systematic, [͵sɪstəˋmætɪk] a.有系統的；有條理的
sophomore, [ˋsɑfmor] n.(大學，高中的)二年級學生
tap, [tæ p] n.龍頭(酒桶等的)塞子，栓子；竊聽器 vi.裝上塞子(嘴子)；在…裝竊聽器
sorrowful, [ˋsɑrəfəl] a.悲傷的，傷心的
souvenir, [͵suvəˋnɪr] n.紀念品，紀念物
spare, [spɛr] vt.分出，騰出(時間，人手)；節約 a.多餘的；備用的
tap, [tæ p] n.vt.vi.輕拍，輕叩，輕敲
technician, [tɛkˋnɪʃən] n.技術人員，技師
spark, [spɑrk] n.火花，火星 vt.發動；點燃
sparkle, [ˋspɑrk!] n.火花；閃耀，閃光 vi.發火花；閃耀
technological, [tɛknəˋlɑdʒɪk!] a.技術(學)的，工藝(學)的
sparrow, [ˋspæro] n.麻雀
telegram, [ˋtɛlə͵græ m] n.電報
spear, [spɪr] n.矛；魚叉
telegraph, [ˋtɛlə͵græ f] n.電報
species, [ˋspiʃiz] n.種類；【生】物種
telescope, [ˋtɛlə͵skop] n.(單筒)望遠鏡
tendency, [ˋtɛndənsɪ] n.傾向；癖性；趨勢，潮流
university, [͵junəˋvɝsətɪ] n.大學
upload, [ʌpˋlod] vt.vi.【電腦】上傳
tense, [tɛns] a.拉緊的，繃緊的 n.【文】(動詞的)時態，時式
urban, [ˋɝbən] a.城市的
urge, [ɝdʒ] vt.vi.催促；力勸；慫恿 n.強烈的慾望；衝動
tension, [ˋtɛnʃən] n.拉緊，繃緊[U]；(精神上的)緊張[U]
urgent, [ˋɝdʒənt] a.緊急的，急迫的
terrify, [ˋtɛrə͵faɪ] vt.vi.使害怕，使恐怖
usage, [ˋjusɪdʒ] n.使用，用法[U]
terror, [ˋtɛrɚ] n.恐怖，驚駭[U]；引起恐怖的事物(或人)[C]
vain, [ven] a.愛虛榮的，自負的；徒然的，無益的
theme, [θim] n.論題，話題；主題，主題思想
vast, [væ st] a.廣闊的，廣大的，巨大的；巨額的
thorough, [ˋθɝo] a.徹底的；完全的
thoughtful, [ˋθɔtfəl] a.深思的；細心的；體貼的
vegetarian, [͵vɛdʒəˋtɛrɪən] n.素食者；食草動物 a.素食主義者的；吃素的
timid, [ˋtɪmɪd] a.膽小的，易受驚的
tiresome, [ˋtaɪrsəm] a.使人疲勞的；令人厭倦的
verb, [vɝb] n.【文】動詞
very, [ˋvɛrɪ] adv.非常，很 a.正是；恰好是
tolerable, [ˋtɑlərəb!] a. 可忍受的；可容忍的
vessel, [ˋvɛs!] n.船，艦；容器，器皿；血管，脈管
tolerance, [ˋtɑlərəns] n.寬容，寬大[U]；忍耐(力)
vinegar, [ˋvɪnɪgɚ] n.醋[U]
tolerate, [ˋtɑlə͵ret] vt.vi.忍受；容忍
violate, [ˋvaɪə͵let] vt.vi.違犯；違反；侵犯
tolerant, [ˋtɑlərənt] a.忍受的，容忍的
violation, [͵vaɪəˋleʃən] n.違反；違背[U]；違反行為[C]
tomb, [tum] n.墓；墓碑
tough, [tʌf] a. 堅韌的；強壯的；棘手的，費勁的
virgin, [ˋvɝdʒɪn] n.處女、未婚女子 a.處女的，貞潔的
tragedy, [ˋtrædʒədɪ] n.悲劇體裁[U]；(一齣)悲劇[C]
virtue, [ˋvɝtʃu] n.善，德[U]；美德，德行[C][U]
virus, [ˋvaɪrəs] n.病毒；濾過性病毒[C]
tragic, [ˋtrædʒɪk] a.悲劇的；悲慘的，不幸的
visual, [ˋvɪʒuəl] a.視力的；視覺的；光學的
transfer, [trænsˋfɝ] vt.vi.轉換；換車；轉校 n.遷移；移交；調任(者)；轉校(生)
vital, [ˋvaɪt!] a.生命的；維持生命所必需的
volcano, [vɑlˋkeno] n.火山[C]
transform, [trænsˋfɔrm] vt.vi.(使)改變；(使)改觀
voluntary, [ˋvɑlən͵tɛrɪ] a.自願的，志願的
volunteer, [͵vɑlənˋtɪr] n.志願者，義工 vi.vt.自願(做)[(+to-v)]
translate, [trænsˋlet] vt.vi.翻譯，轉譯
translation, [trænsˋleʃən] n.翻譯[U]；譯文；譯本[C]
vowel, [ˋvaʊəl] n.【文】母音
voyage, [ˋvɔɪɪdʒ] n.航海，航行
translator, [trænsˋletɚ] n.翻譯員，翻譯者，翻譯家
walnut, [ˋwɔlnət] n.胡桃；胡桃樹[C]
website, [ˋwɛb͵saɪt] n.【電腦】網站
transportation, [͵trænspɚˋteʃən] n.運輸[U];運輸工具
weekly, [ˋwiklɪ] a.每週的；一週一次的adv.每週；每週一次 n.週刊
tremendous, [trɪˋmɛndəs] a.巨大的，極大的
welfare, [ˋwɛl͵fɛr] n.福利；幸福[U]
tribal, [traɪb!] a.部落的，種族的[C]
wit, [wɪt] n.機智；智慧[U]
triumph, [ˋtraɪəmf] n.(大)勝利；(大)成功[C] vi.獲得勝利(或成功)
witch, [wɪtʃ] n.女巫，巫婆
wizard, [ˋwɪzɚd] n.男巫；術士
troublesome, [ˋtrʌb!səm] a.麻煩的，棘手的
tug-of-war, [tʌg əv wɔr] n.拔河(比賽)
withdraw, [wɪðˋdrɔ] vt.vi.抽回；收回；取回；提領(錢)
twinkle, [ˋtwɪŋk!] n.vi.(星等)閃爍；閃耀
typist, [ˋtaɪpɪst] n.打字員；打字者
witness, [ˋwɪtnɪs] n.目擊者；見證人 vt.目擊
underpass, [ˋʌndɚ͵pæ s] n.地下道；地下人行道
wreck, [rɛk] n.(船等的)失事，遇難[U]；船難事故[C] vt.vi.(使)失事，(使)遇難
unique, [juˋnik] a.唯一的，獨一無二的
wrinkle, [ˋrɪŋk!] n.皺紋 vt.vi.(使)起皺紋
universal, [͵junəˋvɝs!] a.全體的；普遍的；一般的
yearly, [ˋjɪrlɪ] a.每年的，一年一次的 adv.每年，一年一度 n.年刊；年鑑
yogurt, [ˋjogɚt] n.酸奶酪；酵母乳 (yoghourt)
youthful, [ˋjuθfəl] a.年輕的；青年的；富青春活力的
