abandon, [əˋbændən] vt.放棄，中止
professional, [prəˋfɛʃən!] n.職業選手；專家，內行 a.從事特定專業的；職業性的
recipe, [ˋrɛsəpɪ] n.食譜
recite, [riˋsaɪt] vt.vi.背誦；朗誦
professor, [prəˋfɛsɚ] n.教授
recognition, [͵rɛkəgˋnɪʃən] n.認出，識別；認可[U]
profitable, [ˋprɑfɪtəb!] a.有利的，贏利的；有益的
recovery, [rɪˋkʌvərɪ] n.重獲；恢復，復甦
prominent, [ˋprɑmənənt] a.突出的；顯著的；卓越的
recreation, [͵rɛkrɪˋeʃən] n.消遣；娛樂
recycle, [riˋsaɪk!] vt.使再循環；再利用
promising, [ˋprɑmɪsɪŋ] a.有希望的，有前途的
reduction, [rɪˋdʌkʃən] n.減少；削減；【數】簡化
promotion, [prəˋmoʃən] n.晉級；發揚；提倡；促銷[U]
refer, [rɪˋfɝ] vt.把…歸因於；將…提交[(+to)] vi.談到；查閱，參考；打聽；涉及[(+to)]
prompt, [prɑmpt] a. 敏捷的，及時的，迅速的
prompt, [prɑmpt] vt.. 促使；激勵；慫恿
reference, [ˋrɛfərəns] n.提及；提交；參考
pronoun, [ˋpronaʊn] n.【文】代名詞
reflect, [rɪˋflɛkt] vt.vi.反射；思考，反省
pronunciation, [prə͵nʌnsɪˋeʃən] n.發音；發音法
reflection, [rɪˋflɛkʃən] n.反射；回響；深思熟慮
prosper, [ˋprɑspɚ] vi.vt.(使)繁榮，(使)昌盛；
reform, [͵rɪˋfɔrm] n.vt.改革，革新
restore, [rɪˋstor] vt.vi.恢復；使復原；修復，整修
refresh, [rɪˋfrɛʃ] vt.vi.(使)清新；消除(…)疲勞
refugee, [͵rɛfjʊˋdʒi] n.難民；流亡者
restriction, [rɪˋstrɪkʃən] n.限制；約束
refusal, [rɪˋfjuz!] n.拒絕[U][C][+to-v]
retain, [rɪˋten] vt.保留，保持
regarding, [rɪˋgɑrdɪŋ] prep.關於；就…而論
retire, [rɪˋtaɪr] vt.vi.(使)退休；(令)退役
register, [ˋrɛdʒɪstɚ] n.vt.vi.登記，註冊
retirement, [rɪˋtaɪrmənt] n.退休；退職
registration, [͵rɛdʒɪˋstreʃən] n.登記，註冊，掛號[U]
retreat, [rɪˋtrit] n.撤退；隱退處；休養所 vi.vt.撤退，退卻
regulate, [ˋrɛgjə͵let] vt.vi.管理；控制；校準；調節
reunion, [riˋjunjən] n.再聯合；(親友等的)團聚，重聚
regulation, [͵rɛgjəˋleʃən] n.規章；規則[C]；管理；調整
revenge, [rɪˋvɛndʒ] vt.替…報仇[(+on/upon)]n.報仇；報復[U][(+for/on)]
rejection, [rɪˋdʒɛkʃən] n.拒絕；退回；【醫】排斥[U]
revise, [rɪˋvaɪz] vt.vi.修訂；校訂
revision, [rɪˋvɪʒən] n.修訂；修訂本，訂正版
relative, [ˋrɛlətɪv] n.親戚，親屬；【文】關係詞 a.與…有關係的，相關的
revolution, [͵rɛvəˋluʃən] n.革命；(天體的)運行，公轉
relative, [ˋrɛlətɪv] a.相對的，比較的；
revolutionary, [͵rɛvəˋluʃən͵ɛrɪ] a.革命的
relaxation, [͵rilæksˋeʃən] n.鬆弛，放鬆[U]
reward, [rɪˋwɔrd] n.vt.報答；報償；獎賞
relieve, [rɪˋliv] vt.vi.緩和，減輕；解除
rhyme, [raɪm] n.韻，韻腳 vi.押韻
reluctant, [rɪˋlʌktənt] a.不情願的；勉強的
rhythm, [ˋrɪðəm] n.節奏；韻律[U]；節拍[C]
remark, [rɪˋmɑrk] vi.n.談到；評論；說；注意；察覺
romance, [roˋmæns] n.愛情小說；浪漫情調
remarkable, [rɪˋmɑrkəb!] a.值得注意的；非凡卓越的
roughly, [ˋrʌflɪ] adv.粗糙地；粗略地；大體上；大約
remedy, [ˋrɛmədɪ] n.治療；治療法；藥物
route, [rut] n.路；路線；航線[C]
repetition, [͵rɛpɪˋtɪʃən] n.重複；反覆
ruin, [ˋrʊɪn] n.毀滅；崩潰；毀壞[U]；廢墟；遺跡[C] vt.vi.毀滅；崩潰
representation, [͵rɛprɪzɛnˋteʃən] n.代表；代表權[U]；表示，表現
reputation, [͵rɛpjəˋteʃən] n.名譽，名聲
rural, [ˋrʊrəl] a.農村的；田園的
rescue, [ˋrɛskju] n.vt.援救；營救
sacrifice, [ˋsækrə͵faɪs] n.(供神的)牲禮，祭品；犧牲 vt.犧牲；獻出
research, [rɪˋsɝtʃ] n.vi.vt.(學術)研究；調查，探究
salary, [ˋsælərɪ] n.薪資，薪水
researcher, [riˋsɝtʃɚ] n.研究員；調查者
salesperson, [ˋselz͵pɚsn] n.店員，售貨員
resemble, [rɪˋzɛmb!] vt.像，類似
reservation, [͵rɛzɚˋveʃən] n.保留(意見)；自然保護區；預訂；預訂的房間(或席座)
saleswoman, [ˋselz͵wʊmən] n.女店員；售貨員
satellite, [ˋsæt!͵aɪt] n.衛星；人造衛星
resign, [rɪˋzaɪn] vt.vi.放棄，辭職
satisfaction, [͵sætɪsˋfækʃən] n.滿意，滿足
resignation, [͵rɛzɪgˋneʃən] n.辭職；放棄；辭呈[C]
scarcely, [ˋskɛrslɪ] adv.幾乎不，幾乎沒有
scenery, [ˋsinərɪ] n.風景，景色 [U]
resistance, [rɪˋzɪstəns] n.抵抗，反抗，抵抗力；電阻
scold, [skold] vt.vi.n.罵，責罵
scratch, [skræ tʃ] n.vt.vi.抓；搔；擦；刮
resolution, [͵rɛzəˋluʃən] n.決心；決定；(會議等的)正式決定；【電腦】解析度
screwdriver, [ˋskru͵draɪvɚ] n.螺絲起子
sculpture, [ˋskʌlptʃɚ] n.雕塑品；雕像[C]；雕刻術[U]
seagull, [ˋsigʌl] n.海鷗(gull)
resolve, [rɪˋzɑlv] vt.vi.決心，決定；解決;解答；議決
senior, [ˋsinjɚ] a.年長的，前輩的；四年級生 n.較年長者；學長；前輩；上司； (大學)
respectable, [rɪˋspɛktəb!] a.值得尊敬的
respectful, [rɪˋspɛktfəl] a.恭敬的；尊敬人的
settler, [ˋsɛtlɚ] n.移居者；殖民者；(糾紛等的)解決者
spicy, [ˋspaɪsɪ] a.加有香料的；香的；辛辣的
spiritual, [ˋspɪrɪtʃʊəl] a.精神(上)的，心靈的
severe, [səˋvɪr] a. 嚴重的；劇烈的；嚴厲的；嚴肅的
splendid, [ˋsplɛndɪd] a.有光彩的；燦爛的；極好的
shameful, [ˋʃemfəl] a.可恥的，丟臉的
split, [splɪt] vt.vi.劈開；切開 n.裂縫，裂痕；(舞蹈，體操中的)劈腿
shaver, [ˋʃevɚ] n.理髮師；刮鬍鬚的用具
shelter, [ˋʃɛltɚ] n.遮蓋物；躲避處；避難所 vt.遮蔽；庇護
sportsman, [ˋsportsmən] n.喜好運動的人；運動員
shift, [ʃɪft] vt.vi.轉移；變(速)，換(檔) n.轉移；輪班；(汽車的)變速裝置
sportsmanship, [ˋsportsmən͵ʃɪp] n.運動員精神
shortsighted, [ˋʃɔrtˋsaɪtɪd] a.近視的；目光短淺的
status, [ˋstetəs] n.地位，身分；情形，狀況
stem, [stɛm] n.莖，(樹)幹，(葉)柄 vi.起源於，由…而造成[(+from)]
shrug, [ʃrʌg] n.vi.vt.(表示疑惑，蔑視，無奈等)聳肩
stingy, [ˋstɪndʒɪ] a.吝嗇的，小氣的
shuttle, [ˋʃʌt!] n.(紡織機的)梭子；接駁車；太空梭；羽毛球
strengthen, [ˋstrɛŋθən] vt.vi.加強；增強；鞏固
sightseeing, [ˋsaɪt͵siɪŋ] n.觀光，遊覽[U]
strive, [straɪv] vi.努力，苦幹，奮鬥
signature, [ˋsɪgnətʃɚ] n.簽名，簽署；(人物)識別標誌
stroke, [strok] n.打，擊，敲；(病)突然發作；中風；(寫字，繪畫的)一筆；筆觸
significance, [sɪgˋnɪfəkəns] n.重要性，重要
stroke, [strok] vt.n.(用手)撫，摸，捋
submarine, [ˋsʌbmə͵rin] n.潛水艇 a.海底的
sincerity, [sɪnˋsɛrətɪ] n.真實；誠心誠意
suggestion, [səˋdʒɛstʃən] n.建議，提議；暗示
singular, [ˋsɪŋgjəlɚ] a.【文】單數的 n.【文】單數(形)
summarize, [ˋsʌmə͵raɪz] vt.vi.總結，概述
surf, [sɝf] vt.vi.衝浪；快速瀏覽
site, [saɪt] n.地點，場所；【電腦】網點
surgeon, [ˋsɝdʒən] n.外科醫生
sketch, [skɛtʃ] n.vt.vi.速寫，素描
surgery, [ˋsɝdʒərɪ] n.外科，(外科)手術[U]；手術室
sledge, [slɛdʒ] n.雪橇 vi.乘雪橇 vt.用雪橇運送(=sled)
surrender, [səˋrɛndɚ] vi.vt.n.投降，自首
sleigh, [sle] n.雪橇 vi.乘雪橇 vt.用雪橇運送(=sled)
surroundings, [səˋraʊndɪŋz] n.環境；周圍的事物
slight, [slaɪt] a.輕微的；微小的；少量的
suspicious, [səˋspɪʃəs] a.猜疑的，可疑的
slogan, [ˋslogən] n.口號，標語
sway, [swe] vt.vi.n.搖動，搖擺
smog, [smɑg] n.煙霧(= smoke and fog)[U]
syllable, [ˋsɪləb!] n.音節[C]
sneeze, [sniz] vi.打噴嚏 n.噴嚏(聲)[C]
sympathetic, [͵sɪmpəˋθɛtɪk] a.同情的；有同情心的
sob, [sɑb] vi.vt.n.嗚咽；啜泣
socket, [ˋsɑkɪt] n.托座，承口；【電】插座；插口
sympathy, [ˋsɪmpəθɪ] n.同情，同情心
symphony, [ˋsɪmfənɪ] n.交響樂，交響曲
software, [ˋsɔft͵wɛr] n.【電腦】軟體 [U]
syrup, [ˋsɪrəp] n.糖漿；果汁
solar, [ˋsolɚ] a.太陽的；日光的
systematic, [͵sɪstəˋmætɪk] a.有系統的；有條理的
sophomore, [ˋsɑfmor] n.(大學，高中的)二年級學生
tap, [tæ p] n.龍頭(酒桶等的)塞子，栓子；竊聽器 vi.裝上塞子(嘴子)；在…裝竊聽器
sorrowful, [ˋsɑrəfəl] a.悲傷的，傷心的
souvenir, [͵suvəˋnɪr] n.紀念品，紀念物
spare, [spɛr] vt.分出，騰出(時間，人手)；節約 a.多餘的；備用的
tap, [tæ p] n.vt.vi.輕拍，輕叩，輕敲
technician, [tɛkˋnɪʃən] n.技術人員，技師
spark, [spɑrk] n.火花，火星 vt.發動；點燃
sparkle, [ˋspɑrk!] n.火花；閃耀，閃光 vi.發火花；閃耀
technological, [tɛknəˋlɑdʒɪk!] a.技術(學)的，工藝(學)的
sparrow, [ˋspæro] n.麻雀
telegram, [ˋtɛlə͵græ m] n.電報
spear, [spɪr] n.矛；魚叉
telegraph, [ˋtɛlə͵græ f] n.電報
species, [ˋspiʃiz] n.種類；【生】物種
telescope, [ˋtɛlə͵skop] n.(單筒)望遠鏡
tendency, [ˋtɛndənsɪ] n.傾向；癖性；趨勢，潮流
university, [͵junəˋvɝsətɪ] n.大學
upload, [ʌpˋlod] vt.vi.【電腦】上傳
tense, [tɛns] a.拉緊的，繃緊的 n.【文】(動詞的)時態，時式
urban, [ˋɝbən] a.城市的
urge, [ɝdʒ] vt.vi.催促；力勸；慫恿 n.強烈的慾望；衝動
tension, [ˋtɛnʃən] n.拉緊，繃緊[U]；(精神上的)緊張[U]
urgent, [ˋɝdʒənt] a.緊急的，急迫的
terrify, [ˋtɛrə͵faɪ] vt.vi.使害怕，使恐怖
usage, [ˋjusɪdʒ] n.使用，用法[U]
terror, [ˋtɛrɚ] n.恐怖，驚駭[U]；引起恐怖的事物(或人)[C]
vain, [ven] a.愛虛榮的，自負的；徒然的，無益的
theme, [θim] n.論題，話題；主題，主題思想
vast, [væ st] a.廣闊的，廣大的，巨大的；巨額的
thorough, [ˋθɝo] a.徹底的；完全的
thoughtful, [ˋθɔtfəl] a.深思的；細心的；體貼的
vegetarian, [͵vɛdʒəˋtɛrɪən] n.素食者；食草動物 a.素食主義者的；吃素的
timid, [ˋtɪmɪd] a.膽小的，易受驚的
tiresome, [ˋtaɪrsəm] a.使人疲勞的；令人厭倦的
verb, [vɝb] n.【文】動詞
very, [ˋvɛrɪ] adv.非常，很 a.正是；恰好是
tolerable, [ˋtɑlərəb!] a. 可忍受的；可容忍的
vessel, [ˋvɛs!] n.船，艦；容器，器皿；血管，脈管
tolerance, [ˋtɑlərəns] n.寬容，寬大[U]；忍耐(力)
vinegar, [ˋvɪnɪgɚ] n.醋[U]
tolerate, [ˋtɑlə͵ret] vt.vi.忍受；容忍
violate, [ˋvaɪə͵let] vt.vi.違犯；違反；侵犯
tolerant, [ˋtɑlərənt] a.忍受的，容忍的
violation, [͵vaɪəˋleʃən] n.違反；違背[U]；違反行為[C]
tomb, [tum] n.墓；墓碑
tough, [tʌf] a. 堅韌的；強壯的；棘手的，費勁的
virgin, [ˋvɝdʒɪn] n.處女、未婚女子 a.處女的，貞潔的
tragedy, [ˋtrædʒədɪ] n.悲劇體裁[U]；(一齣)悲劇[C]
virtue, [ˋvɝtʃu] n.善，德[U]；美德，德行[C][U]
virus, [ˋvaɪrəs] n.病毒；濾過性病毒[C]
tragic, [ˋtrædʒɪk] a.悲劇的；悲慘的，不幸的
visual, [ˋvɪʒuəl] a.視力的；視覺的；光學的
transfer, [trænsˋfɝ] vt.vi.轉換；換車；轉校 n.遷移；移交；調任(者)；轉校(生)
vital, [ˋvaɪt!] a.生命的；維持生命所必需的
volcano, [vɑlˋkeno] n.火山[C]
transform, [trænsˋfɔrm] vt.vi.(使)改變；(使)改觀
voluntary, [ˋvɑlən͵tɛrɪ] a.自願的，志願的
volunteer, [͵vɑlənˋtɪr] n.志願者，義工 vi.vt.自願(做)[(+to-v)]
translate, [trænsˋlet] vt.vi.翻譯，轉譯
translation, [trænsˋleʃən] n.翻譯[U]；譯文；譯本[C]
vowel, [ˋvaʊəl] n.【文】母音
voyage, [ˋvɔɪɪdʒ] n.航海，航行
translator, [trænsˋletɚ] n.翻譯員，翻譯者，翻譯家
walnut, [ˋwɔlnət] n.胡桃；胡桃樹[C]
website, [ˋwɛb͵saɪt] n.【電腦】網站
transportation, [͵trænspɚˋteʃən] n.運輸[U];運輸工具
weekly, [ˋwiklɪ] a.每週的；一週一次的adv.每週；每週一次 n.週刊
tremendous, [trɪˋmɛndəs] a.巨大的，極大的
welfare, [ˋwɛl͵fɛr] n.福利；幸福[U]
tribal, [traɪb!] a.部落的，種族的[C]
wit, [wɪt] n.機智；智慧[U]
triumph, [ˋtraɪəmf] n.(大)勝利；(大)成功[C] vi.獲得勝利(或成功)
witch, [wɪtʃ] n.女巫，巫婆
wizard, [ˋwɪzɚd] n.男巫；術士
troublesome, [ˋtrʌb!səm] a.麻煩的，棘手的
tug-of-war, [tʌg əv wɔr] n.拔河(比賽)
withdraw, [wɪðˋdrɔ] vt.vi.抽回；收回；取回；提領(錢)
twinkle, [ˋtwɪŋk!] n.vi.(星等)閃爍；閃耀
typist, [ˋtaɪpɪst] n.打字員；打字者
witness, [ˋwɪtnɪs] n.目擊者；見證人 vt.目擊
underpass, [ˋʌndɚ͵pæ s] n.地下道；地下人行道
wreck, [rɛk] n.(船等的)失事，遇難[U]；船難事故[C] vt.vi.(使)失事，(使)遇難
unique, [juˋnik] a.唯一的，獨一無二的
wrinkle, [ˋrɪŋk!] n.皺紋 vt.vi.(使)起皺紋
universal, [͵junəˋvɝs!] a.全體的；普遍的；一般的
yearly, [ˋjɪrlɪ] a.每年的，一年一次的 adv.每年，一年一度 n.年刊；年鑑
yogurt, [ˋjogɚt] n.酸奶酪；酵母乳 (yoghourt)
youthful, [ˋjuθfəl] a.年輕的；青年的；富青春活力的
architecture, [`ɑrkə͵tɛktʃɚ] n.建築
arena, [ə`rinə] n.競技場
abide, [ə`baɪd] vt.vi.遵守
armor, [`ɑrmɚ] n.盔甲
abolish, [ə`bɑlɪʃ] vt.廢止
ascend, [ə`sɛnd] vt.vi.上升
abortion, [ə`bɔrʃən] n.墮胎
ass, [æ s] n.驢子；笨蛋；屁股
abrupt, [ə`brʌpt] adj.突然的
assault, [ə`sɔlt] vt.n.攻擊 vi.動武
absurd, [əb`sɝd] adj.荒謬的
asset, [`æ sɛt] n.資產
abundant, [ə`bʌndənt] adj.豐富的
astonish, [ə`stɑnɪʃ] vt.震驚
academy, [ə`kæ dəmɪ] n.學院
astonishment, [ə`stɑnɪʃmənt] n.震驚
accustom, [ə`kʌstəm] vt.使…習慣
astray, [ə`stre] adv.迷路地
ace, [es] n.么點；王牌
astronaut, [`æ strə͵nɔt] n.太空人
acknowledge, [ək`nɑlɪdʒ] vt.承認
astronomer, [ə`strɑnəmɚ] n.天文學家
acknowledgement, [ək`nɑlɪdʒmənt] n.承認
astronomy, [əs`trɑnəmɪ] n.天文學
acne, [`æ knɪ] n.粉刺
attendance, [ə`tɛndəns] n.出席
admiral, [`æ dmərəl] n.海軍上將
auditorium, [͵ɔdə`torɪəm] n.禮堂
adolescence, [æ d!`ɛsns] n.青春期
auxiliary, [ɔg`zɪljərɪ] adj.輔助的
adolescent, [͵æd!`ɛsnt] adj.青春期的 n.輔助者；助手；助動詞
adore, [ə`dor] vt.珍愛
awe, [ɔ] n.敬畏 vt.使...敬畏
adulthood, [ə`dʌlthʊd] n.成年時期
awhile, [ə`hwaɪl] adv.片刻
advertiser, [`æ dvɚ͵taɪzɚ] n.登廣告者
bachelor, [`bæ tʃəlɚ] n.單身漢
affection, [ə`fɛkʃən] n.情愛
backbone, [`bæk͵bon] n.脊椎
agenda, [ə`dʒɛndə] n.議程
badge, [bæ dʒ] n.徽章
agony, [`æ gənɪ] n.痛苦
ballot, [`bæ lət] n.選票
agricultural, [͵ægrɪ`kʌltʃərəl] adj.農業的
ban, [bæ n] n.vt.禁止
artificial intelligence, [͵ɑrtə`fɪʃəl] [ɪn`tɛlədʒəns] n.人工智慧
bandit, [`bæ ndɪt] n.土匪
banner, [`bæ nɚ] n.旗幟
airtight, [`ɛr͵taɪt] adj.密閉的
banquet, [`bæŋkwɪt] n.宴會
airway, [`ɛr͵we] n.呼吸道；(礦井的)風道
barbarian, [bɑr`bɛrɪən] n.野蠻人 a.野蠻人的
aisle, [aɪl] n.走道；通道
algebra, [`æ ldʒəbrə] n.代數
barbershop, [`bɑrbɚ͵ʃɑp] n. (男)理髮廳
alien, [èlɪən] n.外國人；外星人 a.外星的；外國的
barefoot, [`bɛr͵fʊt] adj.赤腳的
barren, [`bæ rən] adj.貧瘠的；不孕的
allergic, [ə`lɝdʒɪk] adj.過敏的
bass, [bes] n.低音樂器；男低音；鱸魚
allergy, [`æ lɚdʒɪ] n.過敏
batch, [bæ tʃ] n.一批
alligator, [`æ lə͵getɚ] n.鱷魚
batter, [`bæ tɚ] vt.vi.猛擊
ally, [ə`laɪ] n.同盟者
bazaar, [bə`zɑr] n.市場
alter, [`ɔltɚ] vt.vi.改變
beautify, [`bjutə͵faɪ] vt.vi.美化
alternate, [`ɔltɚnɪt] vt.vi.adj.n.替換(者)
beforehand, [bɪ`for͵hænd] adv.預先地
altitude, [`æ ltə͵tjud] n.海拔
behalf, [bɪ`hæ f] n.代表
ample, [`æ mp!] adj.足夠的
belongings, [bə`lɔŋɪŋz] n.財產
anchor, [`æŋkɚ] n.錨
beloved, [bɪ`lʌvɪd] adj.心愛的
anthem, [ˋænθəm] n.讚美詩；聖歌；國歌
beneficial, [͵bɛnə`fɪʃəl] adj.有益(利)的
antique, [æ n`tik] n.骨董
beware, [bɪ`wɛr] v.當心
applaud, [ə`plɔd] vt.vi.鼓掌
bid, [bɪd] vt.命令；吩咐；向…表示；出價 n.出價；努力
applause, [ə`plɔz] n.掌聲
apt, [æ pt] adj.有…傾向的；聰明的
blacksmith, [`blæk͵smɪθ] n.鐵匠
architect, [`ɑrkə͵tɛkt] n.建築師
blast, [blæ st] n.強風；爆炸 v.爆炸
blaze, [blez] n.火焰 v.燃燒
carbon, [`kɑrbən] n.炭
bleach, [blitʃ] vt.vi.n.漂白(劑)
cardboard, [`kɑrd͵bord] n.硬紙板
blizzard, [`blɪzɚd] n.暴風雪
carefree, [`kɛr͵fri] adj.無憂無慮的
blond/blonde, [blɑnd] adj.金髮的 n.金髮人
caretaker, [`kɛr͵tekɚ] n.照顧者
blot, [blɑt] n.汙漬(同 stain [sten])
carnation, [kɑr`neʃən] n.康乃馨
blues, [bluz] n.憂鬱
carnival, [`kɑrnəv!] n.嘉年華會
blur, [blɝ] n.模糊 v.使…模糊
carp, [kɑrp] n.鯉魚
bodily, [`bɑdɪlɪ] adj.身體的
carton, [`kɑrtn] n.紙盒；紙箱
bodyguard, [`bɑdɪ͵gɑrd] n.保鑣
category, [`kæ tə͵gorɪ] n.種類；分類
bog, [bɑg] n.沼澤 vt.vi.(使) 陷入泥淖
cathedral, [kə`θidrəl] n.大教堂
bolt, [bolt] n.門閂；閃電 vt.vi.閂住
caution, [`kɔʃən] n.小心；謹慎
bonus, [`bonəs] n.紅利
cautious, [`kɔʃəs] adj.小心的；謹慎的
boom, [bum] n.vi.vt.(發出)隆隆聲；(使)興旺
celebrity, [sɪ`lɛbrətɪ] n.名人；名流；名聲
booth, [buθ] n.小亭
celery, [`sɛlərɪ] n.芹菜
boredom, [`bordəm] n.無聊
cellar, [`sɛlɚ] n.地窖；地下室；酒窖
bosom, [`bʊzəm] n.胸；乳房
cellphone, [`sɛlfon]n.手機
botany, [`bɑtənɪ] n.植物學
boulevard, [`bulə͵vɑrd] n.林蔭大道
bound, [baʊnd] vi.vt.(使)跳躍
boundary, [`baʊndrɪ] n.邊界
cello, [`tʃɛlo] n.大提琴
bowel, [`baʊəl] n.腸
Celsius, [`sɛlsɪəs] n.攝氏 adj.攝氏的
boxer, [`bɑksɚ] n.拳擊手
boxing, [`bɑksɪŋ] n.拳擊
ceremony, [`sɛrə͵monɪ] n.典禮；儀式
boyhood, [`bɔɪhʊd] n.少年時期
certificate, [sɚ`tɪfəkɪt] n.證書
brace, [bres] n.支撐物；矯正器；大括號
chairperson, [`tʃɛr͵pɝsn] n.議長；主席(無性別歧視)
braid, [bred] n.辮子
breadth, [brɛdθ] n.寬度
chairman, [`tʃɛrmən] n.主席
bribe, [braɪb] n.vt.vi.賄賂
chairwoman, [`tʃɛr͵wʊmən] n.女主席
briefcase, [`brif͵kes] n.公事包
chant, [tʃæ nt] n.vt.vi.反覆地唱；吟誦
broaden, [`brɔdn] vi.vt.拓寬
chatter, [`tʃæ tɚ] vt.vi.n.喋喋不休地說
bronze, [brɑnz] n.青銅
checkbook, [`tʃɛk͵bʊk] n.支票簿
brooch, [brotʃ] n.胸針
check-in, [`tʃɛk͵ɪn] n.到達登記；報到
brood, [brud] n.一窩(卵、蟲、鳥) vt.vi.孵出
check-out, [`tʃɛk͵aʊt] n.檢查；結帳離開；退房
broth, [brɔθ] n.湯
brotherhood, [`brʌðɚ͵hʊd] n.兄弟情誼
checkup, [`tʃɛk͵ʌp] n.檢查；體檢
browse, [braʊz] vi.vt.n.瀏覽；吃草
chef, [ʃɛf] n.主廚；大師傅
bruise, [bruz] n.瘀青
chemist, [`kɛmɪst] n.化學家
bulge, [bʌldʒ] n.腫脹；凸塊
chestnut, [`tʃɛs͵nʌt] n.栗子
bulk, [bʌlk] n.體積；容積；大量
chili, [`tʃɪlɪ] n.胡椒
bully, [`bʊlɪ] n.vt.vi.霸凌；威嚇
chimpanzee, [͵tʃɪmpæ n`zi] n.黑猩猩
bureau, [`bjʊro] n.局(處)
choir, [kwaɪr] n.唱詩班
butcher, [`bʊtʃɚ] n.肉販
chord, [kɔrd] n.和弦；和音
cactus, [`kæ ktəs] n.仙人掌
chubby, [`tʃʌbɪ] adj.圓胖的；豐滿的
calf, [kæ f] n.小牛 (複: calves)
circuit, [`sɝkɪt] n.電路
calligraphy, [kə`lɪgrəfɪ] n.書法
cite, [saɪt] vt.引用；引…為證
canal, [kə`næ l] n.運河
civic, [`sɪvɪk] adj.公民的；市民的
cannon, [`kæ nən] n.大砲
clam, [klæ m] n.蛤；鉗子
clan, [klæ n] n.氏族；部落
conduct, [`kɑndʌkt] n.行為；指導
clasp, [klæ sp] vt.vi.n.緊握；緊抱；擁抱
confession, [kən`fɛʃən] n.坦白；懺悔
clause, [klɔz] n.子句；條款
confront, [kən`frʌnt] vt.面臨；遭遇
cling, [klɪŋ] vi.黏著；纏著；緊抓
consent, [kən`sɛnt] vi.n.同意
clockwise, [`klɑk͵waɪz] adj.adv.順時針的(地)
conserve, [kən`sɝv] vt.保存；節省
clover, [`klovɚ] n.苜蓿；三葉草
considerate, [kən`sɪdərɪt] adj.體諒的
cluster, [`klʌstɚ] n.群；串；束
console, [kən`sol] vt.安慰
clutch, [klʌtʃ] vt.vi.n.抓住 n.離合器
constitutional, [͵kɑnstə`tjuʃən!] adj.憲法的
coastline, [`kost͵laɪn] n.海岸線
contagious, [kən`tedʒəs] adj.有傳染性的
cocoon, [kə`kun] n.繭
contaminate, [kən`tæ mə͵net] vt.汙染
coil, [kɔɪl] n.線圈；捲 vt.vi.捲；盤繞
contemplate, [`kɑntɛm͵plet] vt.vi.深思
colleague, [`kɑlig] n.同事
contemporary, [kən`tɛmpə͵rɛrɪ] adj.當代的
colonel, [`kɝn!] n.陸軍上校
contempt, [kən`tɛmpt] n.輕視
colonial, [kə`lonjəl] adj.殖民(地)的
contend, [kən`tɛnd] vt.vi.爭論；競爭
combat, [`kɑmbæ t] n.vt.vi.戰鬥
continental, [͵kɑntə`nɛnt!] adj.洲的；大陸的
comedian, [kə`midɪən] n.喜劇演員
continuity, [͵kɑntə`njuətɪ] n.連貫性；持續性
comet, [`kɑmɪt] n.彗星
convert, [kən`vɝt] vt.vi.轉換；變成
commentator, [`kɑmən͵tetɚ] n.評論家
convict, [kən`vɪkt] vt.判...有罪；判決
commission, [kə`mɪʃən] n.傭金 vt.委任
coral, [`kɔrəl] n.珊瑚
commodity, [kə`mɑdətɪ] n.商品；日用品
corporation, [͵kɔrpə`reʃən] n.股份有限公司
commonplace, [`kɑmən͵ples] adj.平凡的
copyright, [`kɑpɪ͵raɪt] n.版權；著作權
communism, [`kɑmjʊ͵nɪzəm] n.共產主義
correspondence, [͵kɔrə`spɑndəns] n.通信
communist, [`kɑmjʊ͵nɪst] n.共產主義者 adj.共產主義的
corridor, [`kɔrɪdɚ] n.走廊；通道
corrupt, [kə`rʌpt] vt.vi.adj.腐敗(的)
commute, [kə`mjut] vi.n.通勤
counsel, [`kaʊns!] n.vt.vi.忠告；商議
commuter, [kə`mjutɚ] n.通勤者
counselor, [`kaʊns!ɚ] n.顧問；輔導員
compact, [kəm`pæ kt] adj.緊密的；小巧的
cozy, [`kozɪ] adj.舒適的
compass, [`kʌmpəs] n.指南針
counterclockwise, [͵kaʊntɚ`klɑk͵waɪz] adj.adv.逆時針的(地)
compassion, [kəm`pæ ʃən] n.同情
compassionate, [kəm`pæ ʃənet] adj.有同情心的
coupon, [`kupɑn] n.折價券；優待券
courtyard, [`kort`jɑrd] n.庭院
compel, [kəm`pɛl] vt.強迫
cowardly, [`kaʊɚdlɪ] adj.adv.膽小的(地)
compliment, [`kɑmpləmənt] n.vt.恭維；稱讚
cracker, [`kræ kɚ] n.脆餅；爆竹
compound, [`kɑmpaʊnd] n.混合物 [kɑm`paʊnd] vt.合成
crater, [`kretɚ] n.火山口
creak, [krik] vt.vi.發出喀吱聲
comprehend, [͵kɑmprɪ`hɛnd] vt.理解
creek, [krik] n.小河
comprehension, [͵kɑmprɪ`hɛnʃən] n.理解力
crib, [krɪb] n.嬰兒床
compromise, [`kɑmprə͵maɪz] n.vt.vi.妥協；讓步
crocodile, [`krɑkə͵daɪl] n.鱷魚
crossing, [`krɔsɪŋ] n.交叉點；十字路口
compute, [kəm`pjut] vt.vi.n.計算
crouch, [kraʊtʃ] n.vt.vi.蹲伏
computerize, [kəm`pjutə͵raɪz] vt.使電腦化
crunch, [krʌntʃ] v.n.(發出)嘎吱吱的聲音
